ASV,seed23_run2,seed105_run3,seed12_run4
ASV1042,5,4,6
ASV10423,3,6,1
ASV10428,3,6,1
ASV10438,3,6,1
ASV1044,9,9,12
ASV10440,3,6,1
ASV10442,3,6,1
ASV10443,3,6,1
ASV10447,3,6,1
ASV1045,3,6,13
ASV10452,3,6,1
ASV10453,3,6,1
ASV10458,3,6,1
ASV10461,3,6,1
ASV10464,3,6,1
ASV10465,3,6,1
ASV10470,3,6,1
ASV10472,3,6,1
ASV10487,3,6,1
ASV10489,3,6,1
ASV10490,3,6,1
ASV10492,3,6,1
ASV10503,3,6,1
ASV1051,3,6,1
ASV10512,3,6,1
ASV10514,3,6,1
ASV1052,1,9,12
ASV10525,3,6,1
ASV10528,3,6,1
ASV1053,3,1,8
ASV1054,9,8,10
ASV10545,3,6,1
ASV1055,3,6,1
ASV10554,3,6,1
ASV10555,3,6,1
ASV1056,3,6,1
ASV10567,3,6,1
ASV10569,3,6,1
ASV10577,3,6,1
ASV1058,3,6,1
ASV10584,3,6,1
ASV1059,8,11,9
ASV10590,3,6,1
ASV10595,3,6,1
ASV1060,3,6,1
ASV10607,3,6,1
ASV10608,3,6,1
ASV10609,3,6,1
ASV1061,1,9,12
ASV10617,3,6,1
ASV1062,3,6,1
ASV10622,3,6,1
ASV10626,3,6,1
ASV1063,3,6,1
ASV10631,3,6,1
ASV10634,3,6,1
ASV10635,3,6,1
ASV1064,5,4,6
ASV10643,3,6,1
ASV10645,3,6,1
ASV10647,3,6,1
ASV1065,12,6,11
ASV10658,3,6,1
ASV1066,3,6,1
ASV10660,3,6,1
ASV10664,3,6,1
ASV1067,3,6,1
ASV10670,3,6,1
ASV10678,3,6,1
ASV10682,3,6,1
ASV10683,3,6,1
ASV1069,3,6,1
ASV10696,3,6,1
ASV10697,3,6,1
ASV1070,3,6,1
ASV10708,3,6,1
ASV1071,3,6,13
ASV10711,3,6,1
ASV1072,1,9,12
ASV10729,3,6,1
ASV1073,3,6,1
ASV10731,3,6,1
ASV10734,3,6,1
ASV10747,3,6,1
ASV10748,3,6,1
ASV1075,1,9,12
ASV10751,3,6,1
ASV10752,3,6,1
ASV1076,3,6,1
ASV10762,3,6,1
ASV10768,3,6,1
ASV1077,3,6,1
ASV10777,3,6,1
ASV10779,3,6,1
ASV10780,3,6,1
ASV10782,3,6,1
ASV10783,3,6,1
ASV10784,3,6,1
ASV10785,3,6,1
ASV10787,3,6,1
ASV1079,3,6,1
ASV10790,3,6,1
ASV1080,3,6,1
ASV10800,3,6,1
ASV10801,3,6,1
ASV10802,3,6,1
ASV1081,2,5,2
ASV10810,3,6,1
ASV10815,3,6,1
ASV10819,3,6,1
ASV1082,3,6,1
ASV10821,3,6,1
ASV10822,3,6,1
ASV10823,3,6,1
ASV10827,3,6,1
ASV1083,3,6,1
ASV10832,3,6,1
ASV10837,3,6,1
ASV10838,3,6,1
ASV1085,3,6,1
ASV1086,3,6,1
ASV10861,3,6,1
ASV10867,3,6,1
